post,bully
Don   t call her a bitch vv just did,1
DUDE ARE YOU SERIOUS YOUR SO STUPIDDDD STFU and btw if your tired of people talking shit on your form spring delete this accountt and be yourself are you that bad not as stupid as you js just saying,1
dude it seems like everyone hates you you should just delete all your socialing sites should i care,1
Everyone Look This Girl Was Using Missy Lockes Pictures And I Told Her She Was Fake Then She Was Like Im Not Fake Then She Took Bettys Pictures SHES DUMB http www formspring me LMT23 k,1
ew you   re gross ugly BITCH not as gross as you bitch,1
ewwwwwwww okay i know im ew,1
Faaaaake D I am not fake,1
fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake Your fake,1
Fake your fake,1
get a life you twisted bitch You get a life,1
GO TO HELL xD you go to hell ugly wannabe scene chick,1
Grosss Your face is nasty so is yours,1
Grosss Your face is nasty so is yours you don t see me complaining,1
guess what you should do GET A LIFE I don   t even know you so why would you even start shit with me Seriously you must be a bit messed up in the head Pathetic i have one for your information Nope i ain t messed up,1
haha lifeless cunt stop writing on my wall you shit faced slut yo mamma,1
heey how many other formsprings do u have like 50 damn get a life you care why,1
hey everyone this is the girl that fakes ta k,1
Hey im ashlee im tired of everyone commenting on my damn formspring talking shit,1
hey why dont you go kill yourself alot of ppl would be really happy why would i wanna do that,1
heyyy your an ugly fucking bitch you think your sexy haha you ain   t shit besides an ugly bitch amp beware of what ill fucking put your shit on blast fucking stupid ass cunt fuck off amp stop hatein on peoples pages before i go off on your ugly ass please bitch what are you going to do nothing If i were i would get a life,1
hi asslee asshole D Hi anonymous,1
Hi you smelly rotten poo You smell like pigs vomit Did you just go to the toilet I wondered what that smell was you missed the toilet and it fell on your ugly clothes are you poor You stink like hamster poo I   d love to ram a metal pole up your ass I d love to see you get hit by a car,1
hi you   re ashlee and you   re not 16 and you   re ugly as hell so beware bye if i were you i wouldn t be talking beth,1
How much do you have sex what type of question is that sicko,1
I don   t know you and I   ve never said ur ugly please dot comment on my looks learn how to spell,1
i dont know you but you seem like a bitch I m not,1
i hope your asswhole gets sniffed by aids Hope you get aids,1
i like how everyone writes you just to insult you seriously all your questions are dissing you HAHAH Are you sure im not dissing you,1
i never said that i   m 16 or that i   m sexy dumbasssssss are you sure bitch,1
i swear to fucking god bitch i hate you so much you think you can add people and just talk shit on there pages haha naaa yuuu must got us fucked up im going to hunt your ass down and beat the shit out of youu with my own to hands kbitchhhh lame ass joke you can t do shit,1
I   m not a creepy stalker Just everyone fucking hates you so everyone knows what you fucking do You remind me of Harmony Flashpink but uglier and alittle more pathetic Everyone knows you fake yourself and other girls and you want attention Dumbfuck i dont fake myself,1
i   m not fake r sorry liar,1
If Your Going To Be Rude amp Give Smart Ass Answers We Will Unfollow You okay,1
im a big fan of betty and u is ugler than her so fuck up bitch u ugly shit head oh wow should i care,1
Learn how to spell Learn how to tell apart a typo from a spelling error And learn how to be a proper fake you learn to keep your damn mouth shut,1
LMFAO you   re fucking creepy amp must have no friends nor life if you have to create muliple formsprings of yourself saying theyre fakes Quit thinking everyone wants to be you amp they copy you No one would fake you I   m sorry your such a pathetic poser your the one who is creepy stalker,1
Me pathetic your the one who started the shit so,1
no body likes yuuuuuuu like I care,1
No honestly your really immature your the one,1
Nope I actually have a life COUGHCOUGH unlike you the lonely pathetic ugly lowlife man woman who   s life events are staying on formspring creating fakes and starting shit Seriously I   m not the bitch you are END OF STORY KCOOLBYE i have a life show your face Anonymous,1
oh god not you again same here,1
ohh look the girl who fakes herself I only faked myself once,1
Ok bitch wanna get started on me Ok one faggot is an over used term that people try to use on me to get me to feel bad two your nothing but alowlife bitch who gets the kicks out of starting shit with people don   t comestarting shit on my formspring well i want to bitch,1
Okae then bitch you dont got any quick comebacks now do you you fucking FAKE wow pathetic much,1
SLUT LEAVE BETTY ALONE CUNT FACE she is the slut,1
stay off of my formspring I don   t even know who you are why should I,1
STFU YOU HOE you piece of shiit wow i feel insulted,1
stop annoying betty btw you   re a really sad little girl boy You think ur all grown up now using big words stupid child living a fake life behind a damn keyboard and a screen how more pathetic can you be girl I m not fake hun,1
stop leaving stuff like quot fake quot on your own formsrping dead give away dumbass SUCK A CUNT what are you talking about,1
Stop making fakes of yourself You are ugly as fuck You   re not actually 16 bitch And you   re deff not a cyrus Get a mother fucking life cunt I don t make fakes of myself person so get your fakes straight js,1
u know u care that betty is way better looking than u she is fugly,1
Ugly piece of shit stop talking about yourself,1
ugly i know you are,1
Uhm you did right down there vvvvvvv You   re the   dumbfuck   Stop starting shit with everyone kcoolbye bitch your the one who is copying me,1
Ur face is nasty yep,1
what am i going to do hahaha what am i going to do haha what im going to do is get some bitchess to kick the living shit out of your ugly fake wanna be bitch made ass yea right don t make me laugh,1
who are you yo momma,1
who the fuck are you even a person,1
why are you still alive idk D you tell me,1
why are you stupid WHY ARE YOU STUPID,1
Why did you fake yourself That   s lameeee you know there is like a lot of hate groups on myspace of you I DON T FAKE MYSELF SHUTUP,1
why not and all you have to say is quot nope quot oh and leave people alone delete this you fucking fake I AINT FAKE FYI,1
wow you   re a fucking fake if you   re tired of everyone talking shit on you formspring either stop talking shit to them first or delete the damn thing gosh you   re fucking retarded I forgot how stupid people are these days and that would be you whatever bitch,1
Wow you   re fucking stupid You told a girl whoo had her info showing quot Show your face anonymus quot and your comebacks fucking suck quot Fighting over the Internet is like being in the special olympics even when you win you   re still retarded quot um looks who s talking your talking shit to me stop being a hypocrite,1
y do u have a big nose seriously no girl have a big nose so not as big as yours,1
Yo shorty This bitch fake I m not fake,1
you are nasty so are you,1
you are stupid and ugly that s what you are,1
YOU DONT EVEN FUCKING HAVE FAKES STOP THE FUCKING BULLSHIT AND GET A LIFE JEZUSS HOW OLD ARE YOU KID LIFELESS BITCH YOU NEED HELP Yes i do,1
YOU SHOULD DIE kay,1
you should listen to the song quot big weenie quot by eminem it describes you SO much everyone feels this way towards you xD lol are you sure your not describing yourself,1
You suck you do nigga,1
you sure as hell look like a dog don   t fucking call me   hun   got it i don t look like a damn dog hun lol i just did what you gonna do about it,1
you   re fucking pathetic so are you for commenting my formspring,1
you   re mean okay,1
you   re one of the ugliest bitches I   ve ever fucking seen have you seen your face lately because if you had you wouldn t be talkin hun,1
You   re really rude What the heck is your problem i dunno what s yours,1
you   re the bitch fuck off I m not a dog hun,1
your a fake your a fake for calling the REAL hailey fake on her formspring what a lame bitch your lame for no leaving your stupid username,1
your a fuckin ugly bitch you look like a man in the face whatever you say,1
your background stupid tooo like your face,1
your come backs are fucking horrible you dumb bitch wtf are you like fucking five you   re like   i know you are but what am i   yeahhhh no bitch get a fucking life i have one unlike you hun,1
Your comebacks suck balls like i said do yours,1
Your comebacks suck balls so do yours,1
Your face is nastyy your just jealous,1
your fucking ugly like your mom,1
your mad ugly true talk like your face,1
your not FUCKING pretty stop hating on grace and all these pretty girls your just jealous omg why would i wanna be jealous of them,1
Your probably the one faking KAI HUH FUCKING BITCH hun i have a life unlike you,1
Your so fucking immature I   m sorry you have no friends so you have to be rude to everyone your just jealous im sexy and your not P stupid Anonymous show your face faggot,1
your thing says your very sexy lololol hah LIES stalker much,1
your ugly as fuuuuck betty is 10000 prettier than youuu so stopp being a bitchhh psh yea right,1
your ugly your momma,1
YOURE UGLY stop talking about yourself,1
andrew once again stop talking to MY friends nobody likes you you think your hot shit and thats whats annoying bye failed rapist Hahahaha D,1
ASSHOLE,1
Aw see even nico does nott want too go near you I like that you try and typeall ghetto YOU dont fucking scare me you bitch Ill fucking kill you if we faught You   d probably bring your quot ghetto friends quot Bahahaha Who would that be Bella and kendall Pff Actually i would love to quot go near her quot but im not the kind of asshole who puts that sort of unfair pressure on a girl and shut the fuck up you re not hardcore you cunt you probably know nothing about fighting and im sure you d get fucked up in a real fight so stop acting badass and go aay unless you re gonna stop being a bitch and do something about it,1
Aww you   ll have some beat my ass Your not quot badass quot enough to do it yourself Exactly what imeant by pussssssyss Cause you re probably a fuckin girl Tell me who youu are and ill do it myself,1
does it look like i give a flying fuck you should cause you re a friendless faggot,1
Dont squirm motha fucka its just a syringe in my spare time i skin these NIGGERS and hit up the nigga nico to binge Aha what up nigga zure Nice rhyme LLAMA FUCKER,1
dudde ima fuuck you til you bleed Haha sorry I m not into that sort of thing,1
dude you are such a fucken fagget ahahaha Ahaha that s funny you anonymous bitch,1
EW FUCKKK NO SHES UGLY AS FUUUCCKKK If she was ugly as quot fuck quot then i wouldn t be talking to her you retard i know a pretty girl when i see one,1
ew i wuld never be jelous of ur life coke yup thats a drug to but u still seem to handle with it a lot no one gives a flying fuck about ur life and leave andrew the fuck alone bc u only hate him for the firey cunt haha i don t do coke you idiot and i dont give a fuck about that guy he s the one commenting on my formspring so shut up,1
ew VVVVVVV I don t know which question you re pointing at asshole,1
exactly ur not hard get the fuck over urself How about you get over me and get the fuck out of here,1
Frances seriously stop trying to make people feel bad for you ugly bitch She s not ugly you stupid cunt she s beautiful why don t stop talkin crap and get a life you silly fuckstick Damn like honestly how much of a loser do you have to be to talk shit over formspring,1
fuck no im not jealous of the ugly ass freak Bitch suck my fucken dick Why don t you say that shit to my face you fuckin pussy,1
haaha cutee yourr callingg mee ahh pussy when your bitchass wont leave a name right you wanna get down im telling you im down one on one letss goo FAKE BITCH,1
haha i knew youu would andd umm this kids a creep worse than you bahahaha VV amp amp woww yourr retarded lol Thanks,1
haha keep saying shit ill kill you Well then you ll go to jail,1
Hahah stfu q hehehe about the bra thing,1
hahaha funny id love to see that forest fire fight Sounds like a challenge How bout you fight me,1
hahaha to the hater who said im quot ugly as fuck quot youu need to open your eyes bc iknow im farr from ugly     amp amp im not being conceited just confident so you cann hushh that amp amp babe if your gonna talk shit   say it to my face I think i had it under control Love,1
I DO know you on a personal level Bitch Well if you can t support me and my decisions then maybe we shouldn t be friends BITCH,1
I DO SUPPORT YOU I JUST WISH YOUD BE DATING SOMEONE ACTUALLY CUTE NOT JUST DATING HER FOR HER BIG ASS She s beyond cute she s beautiful and im not dating her yet so you re wrong about me and my reasons for liking her,1
i dont givafuck ur friendless previously stated in one of my other comments except for firey bitch ahaha i do have friends and i know who they are so don t try to teach me about my own life,1
i guarantee you guys wont be going out by the end of summer I guarantee that you re a fuckin retard soooo fuck you,1
i hate ur fucking guts u amp lindsey grossest thing ive ever seen Haha there s nothing special between us so shut your mouth and she s better than you depending on if you re a girl or not haha,1
I have my shit straight she wears like the same T shirts her little pink and white stripped shirt or the plaid blue and red or pink shirt or whatever and maybe some random ones with jeans or shorts and vans OWNED Ahaha not really dumbfuck And even if she did i wouldnt mind cause i dont care what other people think all i care about is her,1
i hope you know i hate you frances is one of my best friends ass hole Good for you I don t see why you hate me though,1
ill fight you bitch haha fuckoff loser i don t know who you are,1
Im not jealous Im disgusted Shes grosss Ummm she s really not get your shit straight before you start frontin,1
im not Jewish im catholic so suck a dick No thanks I don t like dick,1
LEAVE FRANCES ALONE SERIOUSLY DUDE ALL YOUR GOING TO DO IS HURT HER YOUR OVER HERE quot TALKING quot TO HER AND TALKING TO SABREENA AT THE SAME TIME aha sorry im not talking to sabreena we re just good friends dumbass,1
lets see it then amp amp i was born in th ghetto si wtfuhh you know bout tht cuhh ahaha not a damn thing get on my level trickk show a name amp catchh ahh fade lil homiee amp no you know what dont stay away from me come find me bxtch D,1
Lindseys one of the coolest chicks at poly so stop hating Shes more mature than you   ll ever be I   ve seen her fight i dare you to fight her I couldn t have said it any better myself,1
no it   s too fun Then you must have a very dull life loser,1
No you wont Haha listen asshole you can t sit there and try to tell me about MY feelings unless you know me on a personal level and we re good friends,1
no I hate taylor she used to b firey until she dyed her hair okay i dont really give a shit so find something better to do than criticize me,1
No Im not But thanks for throwing that out there Uhh you sound like a retard when you say shit like that cause you dont know what s gonna happen we could be going out for one day or one year but it doesn t matter cause ill always feel the same about her,1
not telling you will have to just find out on your own it probably won   t be too hard though Haha oh yeah fml but youz a bitchass nigga,1
oh frances hunny dont try and talk all ghetto your white ass doesnt fucking scare me i will break you in fucking half Dude back the fuck off i probably don t even know you so get the FUCK off of my fucken page and stay the FUCK away from Frances,1
r u gay Nah bro I m straight as can be,1
say it to my face trick ass nigga i will fxckin murder you i aint tryna make no body feel bad so you can hush that you got something to say then please step up amp amp show a namee fuckinn bitch whuss up,1
too late i hate you I could give two shits and a fuck about your hatred for me,1
ur gonna have a lot of shit on here cuz a lot of ppl hate u I ve actually anticipated that and I m already aware that a lot of people hate me,1
WHATEVER Im gunna leave before you guys cry amp get yourselves hurt i mean your begging me to leave bye pussys You re the one being anonymous Give me your name and ill have someone beat your ass,1
WHORE You know it,1
y3ah im sur3 sh3 d0nt want y0u Oh thats bad news and nice gay typing dude,1
yeah go ahead and play victim i do know you nico thats how i know your a player Fuck you bitch if you did know me then you would know that Lindsey and Haley both played me so shut your mouth,1
You and frances gross me out nastiest couple ive ever freakin seen Your way out of her league like no joke I appreciate you trying to help but its not working so why don t you go away and stop being jealous yeah,1
your a fagggggg You re a bitchhhhh,1
your my bitch and ill kill you nigga How bout you suck my dick,1
your so gay haha Well you re fat,1
your still gay and a bitch haha Well you re a rapist so fuckoff,1
Your the one talkin shit back fuckstick i mean seriously how 5th grade can you get I didn t know 5th graders were so badass why don t you get out of here before i fuck you in the ass so hard your kids won t be able to sit down for the first 8 years of their lives,1
Do u have a gag reflex Do you have a name,1
If you could punch one celebrity without any repercussions who would it be taylor swift,1
ILL UNFOLLOW YOU JUST LET MY DUMB ASS KNOW I DONT NEED YOUR BULLSHIT THANKS amp amp ENJOY THE REST OF YOUR DAY PEACE hahhah,1
kaydoll is bettaa than rhubinathy cuss she will suck my dick and the othe fat hoe wont and i luv it my sluts okay,1
PLEASE can I poop in your mouth No and anonymousness is just your way of not being able to show yourself At least have the dignigty to leave your name if your going to talk Bahahha,1
Please stop harassing me on my formspring I don t harass people on formspring Will you stop harassing me you keep leaving anonymousness on my page r Keep your negative thoughts off my FS please and thank you very much,1
SMILE4MEXXX IS TRAILER TRASH A RACIST FAT COW A BIMBO FUCKING SLUT AND WORTHLESS AS HELL ALL SHE   S GOOD FOR IS SOMEONE USING HE BODY FOR SEX AND DUMPING HER ON THE STREET WHEN THEY   RE DONE USING HER thats not veryy nice,1
Stop asking yourself questions Im not stop being mean for no reason,1
ur really odd you think so whys that,1
what accent bothers you i guess all accents are neat and nice in the beginning but to live with it for ever idk I cant stand the hick red neck blahhhh i gotta talk like im stupid and have no knowledge as to what im saying yaaaahhh lll UGh Hate it haha,1
Who are the 3 most overrated musicians Hmm overrated r r Taylor Swiftr Jonas Brothersr Miranda Lambert,1
whose betaa www formspring me KayDollBitchh or www formspring me rubinathy15 why dont you find out and get off my page Mmkayy thanks,1
whyy dose rubinathy15 ask stoopid questions erase the dum betch why are you talking to me in anonymousness be a man show your face Hahah,1
Would u rather be a flaming gay handicapped nigger with cherubism or a white trash skitzopherenic amputee with turettes i guess if i HAD to choose the second one at least with turettes i could make ppl laugh,1
Lmao You So Dumb One Tv SHOW and You Said a Whole TV CHANNEL Lol Anywho How Are YOU Mr Ching LMAO AH SHEESH CAUGHT ME SEE THAT S WHAT HAPPENS WHEN THAT KUSH KICKS IN MAKES YOU FORGET SHYT LOL N IM GOOD MAMA WBU,1
809 9501 You little bitch haha amp you bettter nott ill kill you 3,1
ayee that tootsyy girl iss fuckkin F A K E Yeah I know she was writing her own questionss funny shit,1
Bitchezz beloww me I would say ur name but yeww put it on anonymus pussy ass bitchez talkin shit on Alexis she ckan show Herr fuken boobs if she wants don 39 t be jealous cuz yeww prolly don 39 t gawt any it 39 s ok tho and bitch wen she sayz write to her she Lmao haters 3,1
Bitchh really yur saying shez fat now bitch yur probly the fat lonely ass flat chested bitch who ckant get none so stop hating AND PLEASE BITCH TAKE YUR SHIT OFF ANONYMUS DUMM ASS BITCH Lol the day the bitch takes it off anonymous is the day she grew some balls,1
BJ or HJ OMG o lolz,1
dayumm stupid fuckin cunts stop talking your shit get a fuckin life go suck your moms dick and chock on it dayumm lil pussys take it of anonamis or watever stephanie iloveyou alexis Haha I knoow huh but they don t matter I love youu too Stephanie 3,1
Did u now tht ur ugli I lovee ahh haterr 3 but did you know that your uglier than my dogs shit Nahh juss kiddin I m not a bitchh like youu,1
Do u wnt 2 suk my dick Umm i don t wanna catch anything sorry,1
DO yOU WATCH PoRN Haha funny question i would answer you butt it doesn t mattr,1
Dumb bitch Fuchkkk you and your stupid friends Your all pussies None of you can handle on your own You always need your friends to get in everything Your honestly waisting m time but whtevrr I don t care wht you think juss come and say it to my face,1
fuck the lakers GO CELETICS NOOOOO Fuck YOU amp your Celetics,1
FUk you yall betches If this is Arron you really need to get off my ass Call me a bitch idc I know I am But I think your retarded amp amp hella ugly amp dont put a pic of your body only wen you don t got a nice one D and naah nigga fuck YOU,1
go 2 hell afterr youu,1
Hey bitch boobs don 39 t count when the only reason you have them is because your FAT Fat or skinny I still got em way better than having NOTHING Get a life bitch and get off anonymous with this bullshit,1
Hey bitch don 39 t get mad at people who write on here cause YOU ask people to write to you Hey bitch who said I was mad Assume whtevr but if your gonna talk shit put your name alright,1
I hope yhu dnt thinkkk yhur prety casue yhur not Well you re uglierrrr your life juss get lowerr each day So keep talking your shit,1
i lovee youu alexiss I love you too 3,1
im gnna fxk u up ur a dum hoe Take your shit off anonymous and then we can talk amp you probably know what being a hoe is all about bitch,1
Kikk her ass VVV haha wtf try her bitch i dare yuh ily alexis Lol ily too,1
Liar you don 39 t have a bf VVV Lol I know this information Thank Youu,1
Meanzz to ask her questions and stuff nawt talk shit on anonymus pussy ass bitchez watever tho yew guyz don 39 t mean shitt to her and don 39 t affect her so be a bitch to Someone who cares pussy ass fuken ugly bitchez fukk youu Love alwyz marissa Got that right I love youu too 3 Maybe the pussy ass bitches will say it to my face one day,1
Oh ISSS THAT FAGGOT ISAYAH GOIN TO BEE DER Is your mom gonna be there Fuckk you bugg and it takes a faggot to know a faggot hunnyyy,1
Remember that gurl u fight last year Hmm maybe why She wants another ass beating Lol jkk,1
SARAH STANFORD TAKES IT UP THE BUTTHOLE Youur mean stop hating,1
the fukk Wht,1
Tootsy is eww She gonnna kick yoo ass 0 lol,1
VVV so you have nutts i knew it hahaha Yea maybe you should grow some and take it off anonymous next time,1
Wait Nevermind I Am Signed In Dumb ass,1
Why r u such a bitchh I hate u I 39 m gonna kick ur ass whore Your the bitch for having it on anonymous Do you honestly think I care if your low life ass hates me Your probably ALL talk so just shut up now,1
Y do u hang out wit dat eZ girl U int evn eZ gurl pik a betr friend Well don t hate on whoever your referring to,1
YHUUU READY TO GET YHUR A BEat THIS SATuRDAYY You can try but it won t happen I don t know why your ass is still talking to me I don t like to talk to ugly bitchessss,1
Your a S l U t I don t recall becoming you but if you say soooo,1
YOUR NOT FAT ALEXIS SHe 39 S THE FAT ASS lOW LiFE BITCH Haha thanks who are youu,1
Your to young what love is bitch so do you use it Dumb whore put your boobs away Get some boobs amp a life,1
Your ugly x Thanks but I think you need Jesus in your life,1
YO fAt ASS Yodda,1
m b3 pu n d pu zzy 0n y d3 burn n 3c0nd l 0 D0 d b3 d33p thr0 n d vv0rld C n h0v3 13 nch3 d0wn m hr0 0nc3 n ly nq well lemme trow mine dnt yo thoart nd iDnt eat pussy so ya wont be duin daT,1
aye dhis daddy pelt wtf get outa hea bxtch,1
B h M B3 PUMP N D S Z D k N Y0 3 R S0 H RD DAM BRUH I BUST3D A L0 D 0F CUM N MA M0MMASZ HA R SH3 MO STURIZIN IT DO3 I P CTURE Y0 VA GIN T0 BE3 ALL H RY N H ZZZZ W T T L MUNCH ON DAT N PPY BROWN H RY H T N PUZZIE hoe ass bxtch how bout ya show yo face pussy nd stop kuming hidden So how bout ya suk mi dik nd die slowly,1
bitch i can rap beta den yo ugly ass lol go suk my dik nigka kum check outside lakes park n we will see Who diz anywaysz,1
bitch you kant rapp niqquh suk my dik pussy,1
bxtchh who yew twakinqq tew lol yew duh,1
did alix suk yu up wtf bxtch iAnit gayy nd no da fukk he anit lyke wat iLuk lyke iOnly do gurlz now clea it Bxtch,1
do yew kno yew uqlyy as fukc do yew kno dat yo mom iz stank ass hoe lmao,1
fU K m3 N dH A H0l3 hell no,1
how dem tittties i herd dey stil qrowin lol dnt got none,1
http www meatspin com wtf,1
i h3rd yUh sU k3D L X 39 s D K n y LL cUM3D N 3 H 0 3RszZ 3Y3sz N m0 n3D ll n qH l0Nq wtf bxtch get da fuk out hea wid dat ish WUT I LUK LYKE,1
I LUHH DHAT PIC NEGRO ITSZS SEXY LEMM3 SUCK Y0 D K lol yew sure kan,1
I WUNT YO CUM ON MY LIPSZ ohkay tell mi when nd where,1
IMA BITE DA TIP OF YO DICK OFFF N SPLATTER IT INTO ITTY BITTY PIECES oh naw iAnit on dat ish iNeed my dik,1
is u gay hello no bxtch clea itt of mi ish,1
iz yyo cum realie gray umm wtf,1
KUM ON DEN WIT DAT BIG DICK yew gotta tell mi wea ta kum at,1
lmfao shxt dhatss whyy dheyy anonymouss ckuss dhem hoess nastyy n i saiid dnt get hurt ckuss yew bee gettinqq slickk n dnt bee fuckinqq wit mhe lol ohka,1
lolss iknoo yew do n gurl shut up yew anonymous im through argureinqq wit yew lol wow,1
lolss yall hoess desperatee ass fuckk myy niggahh dont want yall brahh get real lmao deep throat hoee yew nastyy dhat shxt aint ckutee watchh yew gon catchh sum shxt hoe like seriouslyy dhat aint ckute anywayss sliden daddyy lmfao iFeel ya,1
n qq d p s3xY b n y0 l ip i fU k n lUh yUh n3qr0 lol who diz,1
n qq l3 v3 l X l0n3 H3 m N3 n qq hH wtf do iLuk gay datz mi homeboi,1
NIGGGA YUH LOOKIN GUUD L8LY,1
NIGGGAH ISZ YUH CIRCUMSIZED kum luk bxtch,1
OMMMMF omq m b 3 D h cr zy N33d yo d ck mhm ohkay,1
Seee im makin u famous dese girls crazi dawg lol nigka suk a big ass dik,1
she askinq you do you have a pull back slow boy wel l she anit writing properly dumb bxtch md how bout yall kum luk,1
u are sooo nastyy naw im juz freaky,1
uhmm bestie y dnt u evr get da braces ya teeth are fcked up Lmao who diz nd iDnt have all mi teeth so suk a big slab lol,1
Vv3 h d 3xx d 0 h3r d Y nd y0 p3n m3lt l k3 p zz D q00d nd y00 cum 3 l k3 h33 3 k3 no we didnt,1
Wood you smash tevon k33n bxtch iAnit gay cleaa it,1
would yuh eva fuk a gurl named Zurii y Not she a gurl rite nd she got a pussy lol hehe,1
y0 d k Z SM LL nd no itz not yo moma anit say ish but yew want it doe,1
y0 lip bitin pic uqlie azz fuck n ya dick small alix told me nigga yew juzz ugly Bxtch fuk wrung wid yo no lyfe aihh nd anit gay so alix anit see mi dik so get ghost fuk face hoe,1
Y3 NIGG YUHH LUUK GAY bxtch suk mi slab nd get lost YODA,1
YEW EVA CUNSIDERED SMASHIN A WHIT3 GURL WIT NICE NIPPLES sure nd iHave smashed a white gurl,1
YO VAGINA FLAPPY LMFAO iDNT HAVE ONE,1
yu a dam lyee mikey yu kno ya mom behh tearn ya asz up lmfao wea yew get dat from,1
YUH FUCKIN S3XI ASZ LIP BITIN NIGGA Thankz,1
yuh n333d d K iN y0 m0utH datz wat yo mom need bxtch ass hoe hoop da fuk up off mi ish nd kum swallow my bulletz hoe,1
yuu kno yuu so lame ndd yuu caint tlkk to that muchh qurls hav yuu seen yurselff hahahahahah noooo bxtch have yew seen yo self r ya ugly ass,1
FUCK YOU YOU SON Mhm By who Haha don t be anonymous pussy,1
hello mr gay fuck What s up mr pussy Say shit to my face,1
i am being for realr This is Tatum Thats cool IDGAF who you are Get off my dick like for real Later,1
I wanna fuck you Oh Thank you,1
lol ok now ur just straight up lying faggot Yahhhhhhhh cause you know my whole life right Get off my formspring and stop asking anonymously pussy duecessss,1
ok this is tatum krista 39 s friend this is her profile thing and i wanted to go on hers cuz she told me she had s on herer she didnt answer cuz there stupid and i wanted t oread them so i did but she told me about you and she is not obsesed with you Haha whateverrrr dude you don t even know anything she does I don t even fucking know you You don t even fucking know me Like seriously get the fuck off of my profile like for real im done with her bullshit it s fucking annoying You can ask anybody ask any of my friends She is fucking obsessed GOODBYE,1
see i told u tht u r a playa stop playing girls u cunt Yuup say shit to me in person not over formspring bitch,1
